REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-05,Campania,133,7,774,425,634,4822,212486,v5
2020-06-05,Valle d'Aosta,9,0,10,143,1,1187,15587,v5
2020-06-05,Sardegna,11,0,67,131,56,1359,60794,v5
2020-06-05,Umbria,12,2,29,76,15,1431,74142,v5
2020-06-05,Calabria,18,0,97,97,79,1159,74186,v5
2020-06-05,Abruzzo,103,4,670,415,563,3257,80972,v5
2020-06-05,Friuli VG,25,2,180,338,153,3280,142246,v5
2020-06-05,Sicilia,54,6,872,276,812,3448,160639,v5
2020-06-05,Molise,0,2,122,23,120,436,15568,v5
2020-06-05,Bolzano,10,2,101,292,89,2599,69466,v5
2020-06-06,Lazio,477,49,2697,758,2171,7801,271662,v5
2020-06-06,Basilicata,0,0,17,27,17,399,31882,v5
2020-06-06,Puglia,109,4,758,522,645,4511,129898,v5
2020-06-06,Piemonte,684,37,4167,3934,3446,30845,340176,v5
2020-06-06,Emilia Romagna,256,35,2416,4171,2125,27894,351146,v5
2020-06-06,Veneto,82,2,1164,1949,1080,19182,734130,v5
2020-06-06,Toscana,49,22,785,1068,714,10134,269298,v5
2020-06-06,Liguria,136,4,245,1492,105,9799,114887,v5
2020-06-06,Marche,46,3,1195,991,1146,6742,112740,v5
2020-06-06,Campania,97,7,738,426,634,4822,215404,v5
2020-06-06,Trento,6,1,104,464,97,4434,94159,v5
2020-06-06,Lombardia,2840,110,19499,16249,16549,90070,813972,v5
2020-06-06,Valle d'Aosta,7,0,12,144,5,1189,15730,v5
2020-06-06,Sardegna,10,1,60,131,49,1362,62145,v5
2020-06-06,Umbria,11,2,28,76,15,1431,75336,v5
2020-06-06,Calabria,18,0,91,97,73,1159,75290,v5
2020-06-06,Abruzzo,96,3,653,418,554,3258,82332,v5
2020-06-06,Friuli VG,24,2,161,338,135,3283,146338,v5
2020-06-06,Sicilia,47,7,866,276,812,3450,163432,v5
2020-06-06,Molise,0,2,121,23,119,436,16522,v5
2020-06-06,Bolzano,7,2,100,292,91,2600,70578,v5
2020-06-07,Lazio,467,49,2690,760,2174,7812,274129,v5
2020-06-07,Basilicata,0,0,14,27,14,399,32147,v5
2020-06-07,Puglia,96,4,733,525,633,4511,131931,v5
2020-06-07,Piemonte,659,38,3962,3941,3265,30855,343354,v5
2020-06-07,Emilia Romagna,245,32,2328,4175,2051,27908,355952,v5
2020-06-07,Veneto,81,1,1085,1954,1003,19183,745805,v5
2020-06-07,Toscana,52,20,750,1070,678,10135,272106,v5
2020-06-07,Liguria,127,5,243,1499,111,9812,116247,v5
2020-06-07,Marche,41,2,1159,991,1116,6745,113729,v5
2020-06-07,Lombardia,2801,107,19420,16270,16512,90195,821977,v5
